TXNAME,GENEID
DN_NonamEVm000879t6,DN_NonamEVm000879
DN_NonamEVm000879t7,DN_NonamEVm000879
DN_NonamEVm000879t8,DN_NonamEVm000879
DN_NonamEVm000885t4,DN_NonamEVm000885
DN_NonamEVm000885t6,DN_NonamEVm000885
DN_NonamEVm000885t9,DN_NonamEVm000885
DN_NonamEVm000896t2,DN_NonamEVm000896
DN_NonamEVm000896t4,DN_NonamEVm000896
DN_NonamEVm000906t3,DN_NonamEVm000906
DN_NonamEVm000906t6,DN_NonamEVm000906
DN_NonamEVm000926t2,DN_NonamEVm000926
DN_NonamEVm000934t1,DN_NonamEVm000934
DN_NonamEVm000934t3,DN_NonamEVm000934
DN_NonamEVm000936t3,DN_NonamEVm000936
DN_NonamEVm000939t1,DN_NonamEVm000939
DN_NonamEVm000939t4,DN_NonamEVm000939
DN_NonamEVm000947t1,DN_NonamEVm000947
DN_NonamEVm000947t4,DN_NonamEVm000947
DN_NonamEVm000960t1,DN_NonamEVm000960
DN_NonamEVm000960t2,DN_NonamEVm000960
DN_NonamEVm000974t1,DN_NonamEVm000974
DN_NonamEVm001004t4,DN_NonamEVm001004
DN_NonamEVm001023t2,DN_NonamEVm001023
DN_NonamEVm001025t1,DN_NonamEVm001025
DN_NonamEVm001025t7,DN_NonamEVm001025
DN_NonamEVm001025t8,DN_NonamEVm001025
DN_NonamEVm001032t1,DN_NonamEVm001032
DN_NonamEVm001032t3,DN_NonamEVm001032
DN_NonamEVm001032t4,DN_NonamEVm001032
DN_NonamEVm001032t5,DN_NonamEVm001032
DN_NonamEVm001032t6,DN_NonamEVm001032
DN_NonamEVm001032t7,DN_NonamEVm001032
DN_NonamEVm001037t2,DN_NonamEVm001037
DN_NonamEVm001037t4,DN_NonamEVm001037
DN_NonamEVm001037t6,DN_NonamEVm001037
DN_NonamEVm001037t8,DN_NonamEVm001037
DN_NonamEVm001046t2,DN_NonamEVm001046
DN_NonamEVm001046t3,DN_NonamEVm001046
DN_NonamEVm001049t1,DN_NonamEVm001049
DN_NonamEVm001049t2,DN_NonamEVm001049
DN_NonamEVm001049t3,DN_NonamEVm001049
DN_NonamEVm001049t4,DN_NonamEVm001049
DN_NonamEVm001051t1,DN_NonamEVm001051
DN_NonamEVm001051t2,DN_NonamEVm001051
DN_NonamEVm001051t5,DN_NonamEVm001051
DN_NonamEVm001051t7,DN_NonamEVm001051
DN_NonamEVm001051t8,DN_NonamEVm001051
DN_NonamEVm001052t1,DN_NonamEVm001052
DN_NonamEVm001052t2,DN_NonamEVm001052
DN_NonamEVm001060t1,DN_NonamEVm001060
DN_NonamEVm001065t1,DN_NonamEVm001065
DN_NonamEVm001065t2,DN_NonamEVm001065
DN_NonamEVm001065t3,DN_NonamEVm001065
DN_NonamEVm001065t4,DN_NonamEVm001065
DN_NonamEVm001065t6,DN_NonamEVm001065
DN_NonamEVm001066t2,DN_NonamEVm001066
DN_NonamEVm001066t4,DN_NonamEVm001066
DN_NonamEVm001066t5,DN_NonamEVm001066
DN_NonamEVm001066t6,DN_NonamEVm001066
DN_NonamEVm001068t1,DN_NonamEVm001068
DN_NonamEVm001068t3,DN_NonamEVm001068
DN_NonamEVm001068t5,DN_NonamEVm001068
DN_NonamEVm001068t8,DN_NonamEVm001068
DN_NonamEVm001070t1,DN_NonamEVm001070
DN_NonamEVm001070t3,DN_NonamEVm001070
DN_NonamEVm001070t4,DN_NonamEVm001070
DN_NonamEVm001070t5,DN_NonamEVm001070
DN_NonamEVm001070t7,DN_NonamEVm001070
DN_NonamEVm001070t9,DN_NonamEVm001070
DN_NonamEVm001071t1,DN_NonamEVm001071
DN_NonamEVm001071t3,DN_NonamEVm001071
DN_NonamEVm001076t1,DN_NonamEVm001076
DN_NonamEVm001076t2,DN_NonamEVm001076
DN_NonamEVm001076t7,DN_NonamEVm001076
DN_NonamEVm001087t3,DN_NonamEVm001087
DN_NonamEVm001087t4,DN_NonamEVm001087
DN_NonamEVm001087t5,DN_NonamEVm001087
DN_NonamEVm001087t6,DN_NonamEVm001087
DN_NonamEVm001087t7,DN_NonamEVm001087
DN_NonamEVm001087t8,DN_NonamEVm001087
DN_NonamEVm001087t9,DN_NonamEVm001087
DN_NonamEVm001090t4,DN_NonamEVm001090
DN_NonamEVm001090t6,DN_NonamEVm001090
DN_NonamEVm001090t7,DN_NonamEVm001090
DN_NonamEVm001090t8,DN_NonamEVm001090
DN_NonamEVm001090t9,DN_NonamEVm001090
DN_NonamEVm001096t1,DN_NonamEVm001096
DN_NonamEVm001096t3,DN_NonamEVm001096
DN_NonamEVm001096t4,DN_NonamEVm001096
DN_NonamEVm001096t7,DN_NonamEVm001096
DN_NonamEVm001105t1,DN_NonamEVm001105
DN_NonamEVm001107t1,DN_NonamEVm001107
DN_NonamEVm001107t2,DN_NonamEVm001107
DN_NonamEVm001107t5,DN_NonamEVm001107
DN_NonamEVm001119t1,DN_NonamEVm001119
DN_NonamEVm001122t2,DN_NonamEVm001122
DN_NonamEVm001122t7,DN_NonamEVm001122
DN_NonamEVm001122t8,DN_NonamEVm001122
DN_NonamEVm001122t9,DN_NonamEVm001122
DN_NonamEVm001132t1,DN_NonamEVm001132
DN_NonamEVm001132t6,DN_NonamEVm001132
DN_NonamEVm001134t1,DN_NonamEVm001134
DN_NonamEVm001134t3,DN_NonamEVm001134
DN_NonamEVm001134t4,DN_NonamEVm001134
DN_NonamEVm001134t5,DN_NonamEVm001134
DN_NonamEVm001134t6,DN_NonamEVm001134
DN_NonamEVm001134t7,DN_NonamEVm001134
DN_NonamEVm001136t3,DN_NonamEVm001136
DN_NonamEVm001136t4,DN_NonamEVm001136
DN_NonamEVm001136t5,DN_NonamEVm001136
DN_NonamEVm001136t6,DN_NonamEVm001136
DN_NonamEVm001139t1,DN_NonamEVm001139
DN_NonamEVm001139t3,DN_NonamEVm001139
DN_NonamEVm001139t4,DN_NonamEVm001139
DN_NonamEVm001139t5,DN_NonamEVm001139
DN_NonamEVm001139t6,DN_NonamEVm001139
DN_NonamEVm001139t8,DN_NonamEVm001139
DN_NonamEVm001139t9,DN_NonamEVm001139
DN_NonamEVm001140t1,DN_NonamEVm001140
DN_NonamEVm001140t2,DN_NonamEVm001140
DN_NonamEVm001140t4,DN_NonamEVm001140
DN_NonamEVm001140t5,DN_NonamEVm001140
DN_NonamEVm001140t7,DN_NonamEVm001140
DN_NonamEVm001140t8,DN_NonamEVm001140
DN_NonamEVm001158t2,DN_NonamEVm001158
DN_NonamEVm001158t6,DN_NonamEVm001158
DN_NonamEVm001158t7,DN_NonamEVm001158
DN_NonamEVm001158t8,DN_NonamEVm001158
DN_NonamEVm001166t1,DN_NonamEVm001166
DN_NonamEVm001166t2,DN_NonamEVm001166
DN_NonamEVm001166t3,DN_NonamEVm001166
DN_NonamEVm001166t4,DN_NonamEVm001166
DN_NonamEVm001166t5,DN_NonamEVm001166
DN_NonamEVm001166t6,DN_NonamEVm001166
DN_NonamEVm001166t8,DN_NonamEVm001166
DN_NonamEVm001172t1,DN_NonamEVm001172
DN_NonamEVm001172t2,DN_NonamEVm001172
DN_NonamEVm001172t4,DN_NonamEVm001172
DN_NonamEVm001185t1,DN_NonamEVm001185
DN_NonamEVm001185t2,DN_NonamEVm001185
DN_NonamEVm001185t3,DN_NonamEVm001185
DN_NonamEVm001185t4,DN_NonamEVm001185
DN_NonamEVm001185t5,DN_NonamEVm001185
DN_NonamEVm001185t6,DN_NonamEVm001185
DN_NonamEVm001185t7,DN_NonamEVm001185
DN_NonamEVm001185t8,DN_NonamEVm001185
DN_NonamEVm001185t9,DN_NonamEVm001185
