TXNAME,GENEID
DN_NonamEVm001014t5,DN_NonamEVm001014
DN_NonamEVm001030t1,DN_NonamEVm001030
DN_NonamEVm001030t2,DN_NonamEVm001030
DN_NonamEVm001030t4,DN_NonamEVm001030
DN_NonamEVm001030t5,DN_NonamEVm001030
DN_NonamEVm001030t6,DN_NonamEVm001030
DN_NonamEVm001030t8,DN_NonamEVm001030
DN_NonamEVm001030t9,DN_NonamEVm001030
DN_NonamEVm001057t2,DN_NonamEVm001057
DN_NonamEVm001057t3,DN_NonamEVm001057
DN_NonamEVm001057t4,DN_NonamEVm001057
DN_NonamEVm001057t5,DN_NonamEVm001057
DN_NonamEVm001057t7,DN_NonamEVm001057
DN_NonamEVm001060t1,DN_NonamEVm001060
DN_NonamEVm001060t4,DN_NonamEVm001060
DN_NonamEVm001060t6,DN_NonamEVm001060
DN_NonamEVm001060t9,DN_NonamEVm001060
DN_NonamEVm001064t1,DN_NonamEVm001064
DN_NonamEVm001064t2,DN_NonamEVm001064
DN_NonamEVm001064t3,DN_NonamEVm001064
DN_NonamEVm001064t4,DN_NonamEVm001064
DN_NonamEVm001064t5,DN_NonamEVm001064
DN_NonamEVm001064t6,DN_NonamEVm001064
DN_NonamEVm001064t7,DN_NonamEVm001064
DN_NonamEVm001064t8,DN_NonamEVm001064
DN_NonamEVm001064t9,DN_NonamEVm001064
DN_NonamEVm001102t1,DN_NonamEVm001102
DN_NonamEVm001102t5,DN_NonamEVm001102
DN_NonamEVm001106t1,DN_NonamEVm001106
DN_NonamEVm001106t2,DN_NonamEVm001106
DN_NonamEVm001106t3,DN_NonamEVm001106
DN_NonamEVm001106t4,DN_NonamEVm001106
DN_NonamEVm001106t5,DN_NonamEVm001106
DN_NonamEVm001106t6,DN_NonamEVm001106
DN_NonamEVm001106t7,DN_NonamEVm001106
DN_NonamEVm001106t8,DN_NonamEVm001106
DN_NonamEVm001106t9,DN_NonamEVm001106
DN_NonamEVm001107t1,DN_NonamEVm001107
DN_NonamEVm001107t3,DN_NonamEVm001107
DN_NonamEVm001107t6,DN_NonamEVm001107
DN_NonamEVm001107t7,DN_NonamEVm001107
DN_NonamEVm001107t9,DN_NonamEVm001107
DN_NonamEVm001109t1,DN_NonamEVm001109
DN_NonamEVm001120t1,DN_NonamEVm001120
DN_NonamEVm001120t2,DN_NonamEVm001120
DN_NonamEVm001141t1,DN_NonamEVm001141
DN_NonamEVm001141t2,DN_NonamEVm001141
DN_NonamEVm001141t3,DN_NonamEVm001141
DN_NonamEVm001141t4,DN_NonamEVm001141
DN_NonamEVm001141t6,DN_NonamEVm001141
DN_NonamEVm001141t7,DN_NonamEVm001141
DN_NonamEVm001144t1,DN_NonamEVm001144
DN_NonamEVm001159t2,DN_NonamEVm001159
DN_NonamEVm001166t1,DN_NonamEVm001166
DN_NonamEVm001190t1,DN_NonamEVm001190
DN_NonamEVm001190t2,DN_NonamEVm001190
DN_NonamEVm001190t3,DN_NonamEVm001190
DN_NonamEVm001190t4,DN_NonamEVm001190
DN_NonamEVm001190t5,DN_NonamEVm001190
DN_NonamEVm001190t6,DN_NonamEVm001190
DN_NonamEVm001191t1,DN_NonamEVm001191
DN_NonamEVm001191t2,DN_NonamEVm001191
DN_NonamEVm001191t4,DN_NonamEVm001191
DN_NonamEVm001208t1,DN_NonamEVm001208
DN_NonamEVm001208t5,DN_NonamEVm001208
DN_NonamEVm001209t4,DN_NonamEVm001209
DN_NonamEVm001235t1,DN_NonamEVm001235
DN_NonamEVm001235t3,DN_NonamEVm001235
DN_NonamEVm001235t4,DN_NonamEVm001235
DN_NonamEVm001235t6,DN_NonamEVm001235
DN_NonamEVm001238t1,DN_NonamEVm001238
DN_NonamEVm001238t2,DN_NonamEVm001238
DN_NonamEVm001238t4,DN_NonamEVm001238
DN_NonamEVm001273t2,DN_NonamEVm001273
DN_NonamEVm001273t5,DN_NonamEVm001273
DN_NonamEVm001277t1,DN_NonamEVm001277
DN_NonamEVm001277t2,DN_NonamEVm001277
DN_NonamEVm001278t1,DN_NonamEVm001278
DN_NonamEVm001281t1,DN_NonamEVm001281
DN_NonamEVm001281t2,DN_NonamEVm001281
DN_NonamEVm001285t1,DN_NonamEVm001285
DN_NonamEVm001285t2,DN_NonamEVm001285
DN_NonamEVm001285t4,DN_NonamEVm001285
DN_NonamEVm001285t5,DN_NonamEVm001285
DN_NonamEVm001285t6,DN_NonamEVm001285
DN_NonamEVm001287t1,DN_NonamEVm001287
DN_NonamEVm001287t4,DN_NonamEVm001287
DN_NonamEVm001287t5,DN_NonamEVm001287
DN_NonamEVm001289t1,DN_NonamEVm001289
DN_NonamEVm001289t3,DN_NonamEVm001289
DN_NonamEVm001289t4,DN_NonamEVm001289
DN_NonamEVm001300t1,DN_NonamEVm001300
DN_NonamEVm001300t3,DN_NonamEVm001300
DN_NonamEVm001302t2,DN_NonamEVm001302
DN_NonamEVm001302t6,DN_NonamEVm001302
DN_NonamEVm001302t7,DN_NonamEVm001302
DN_NonamEVm001302t8,DN_NonamEVm001302
DN_NonamEVm001311t2,DN_NonamEVm001311
DN_NonamEVm001311t3,DN_NonamEVm001311
DN_NonamEVm001325t1,DN_NonamEVm001325
DN_NonamEVm001325t2,DN_NonamEVm001325
DN_NonamEVm001325t3,DN_NonamEVm001325
DN_NonamEVm001325t4,DN_NonamEVm001325
DN_NonamEVm001325t6,DN_NonamEVm001325
DN_NonamEVm001325t8,DN_NonamEVm001325
DN_NonamEVm001337t1,DN_NonamEVm001337
DN_NonamEVm001337t2,DN_NonamEVm001337
DN_NonamEVm001337t3,DN_NonamEVm001337
DN_NonamEVm001338t3,DN_NonamEVm001338
DN_NonamEVm001338t4,DN_NonamEVm001338
DN_NonamEVm001338t5,DN_NonamEVm001338
DN_NonamEVm001338t6,DN_NonamEVm001338
