TXNAME,GENEID
DN_NonamEVm002668t7,DN_NonamEVm002668
DN_NonamEVm002668t8,DN_NonamEVm002668
DN_NonamEVm002673t1,DN_NonamEVm002673
DN_NonamEVm002673t2,DN_NonamEVm002673
DN_NonamEVm002673t3,DN_NonamEVm002673
DN_NonamEVm002673t7,DN_NonamEVm002673
DN_NonamEVm002673t8,DN_NonamEVm002673
DN_NonamEVm002673t9,DN_NonamEVm002673
DN_NonamEVm002691t1,DN_NonamEVm002691
DN_NonamEVm002696t4,DN_NonamEVm002696
DN_NonamEVm002696t5,DN_NonamEVm002696
DN_NonamEVm002705t1,DN_NonamEVm002705
DN_NonamEVm002705t2,DN_NonamEVm002705
DN_NonamEVm002705t7,DN_NonamEVm002705
DN_NonamEVm002705t8,DN_NonamEVm002705
DN_NonamEVm002710t1,DN_NonamEVm002710
DN_NonamEVm002724t2,DN_NonamEVm002724
DN_NonamEVm002724t5,DN_NonamEVm002724
DN_NonamEVm002724t7,DN_NonamEVm002724
DN_NonamEVm002724t9,DN_NonamEVm002724
DN_NonamEVm002732t1,DN_NonamEVm002732
DN_NonamEVm002732t2,DN_NonamEVm002732
DN_NonamEVm002732t3,DN_NonamEVm002732
DN_NonamEVm002743t1,DN_NonamEVm002743
DN_NonamEVm002743t2,DN_NonamEVm002743
DN_NonamEVm002745t1,DN_NonamEVm002745
DN_NonamEVm002745t2,DN_NonamEVm002745
DN_NonamEVm002745t3,DN_NonamEVm002745
DN_NonamEVm002745t4,DN_NonamEVm002745
DN_NonamEVm002745t6,DN_NonamEVm002745
DN_NonamEVm002745t7,DN_NonamEVm002745
DN_NonamEVm002745t8,DN_NonamEVm002745
DN_NonamEVm002763t1,DN_NonamEVm002763
DN_NonamEVm002763t2,DN_NonamEVm002763
DN_NonamEVm002763t3,DN_NonamEVm002763
DN_NonamEVm002763t4,DN_NonamEVm002763
DN_NonamEVm002763t5,DN_NonamEVm002763
DN_NonamEVm002763t6,DN_NonamEVm002763
DN_NonamEVm002763t7,DN_NonamEVm002763
DN_NonamEVm002803t9,DN_NonamEVm002803
DN_NonamEVm002853t1,DN_NonamEVm002853
DN_NonamEVm002853t2,DN_NonamEVm002853
DN_NonamEVm002853t3,DN_NonamEVm002853
DN_NonamEVm002853t4,DN_NonamEVm002853
DN_NonamEVm002853t8,DN_NonamEVm002853
DN_NonamEVm002853t9,DN_NonamEVm002853
DN_NonamEVm002913t1,DN_NonamEVm002913
DN_NonamEVm002913t4,DN_NonamEVm002913
DN_NonamEVm002913t5,DN_NonamEVm002913
DN_NonamEVm002920t6,DN_NonamEVm002920
DN_NonamEVm002961t1,DN_NonamEVm002961
DN_NonamEVm002975t1,DN_NonamEVm002975
DN_NonamEVm002975t2,DN_NonamEVm002975
DN_NonamEVm002975t4,DN_NonamEVm002975
DN_NonamEVm002975t5,DN_NonamEVm002975
DN_NonamEVm002975t6,DN_NonamEVm002975
DN_NonamEVm002975t7,DN_NonamEVm002975
DN_NonamEVm002975t9,DN_NonamEVm002975
DN_NonamEVm003009t1,DN_NonamEVm003009
DN_NonamEVm003052t3,DN_NonamEVm003052
DN_NonamEVm003052t4,DN_NonamEVm003052
DN_NonamEVm003068t1,DN_NonamEVm003068
DN_NonamEVm003068t2,DN_NonamEVm003068
DN_NonamEVm003076t3,DN_NonamEVm003076
DN_NonamEVm003076t4,DN_NonamEVm003076
DN_NonamEVm003076t8,DN_NonamEVm003076
DN_NonamEVm003090t1,DN_NonamEVm003090
DN_NonamEVm003101t1,DN_NonamEVm003101
DN_NonamEVm003101t2,DN_NonamEVm003101
DN_NonamEVm003101t3,DN_NonamEVm003101
DN_NonamEVm003101t4,DN_NonamEVm003101
DN_NonamEVm003113t1,DN_NonamEVm003113
DN_NonamEVm003113t2,DN_NonamEVm003113
DN_NonamEVm003113t9,DN_NonamEVm003113
DN_NonamEVm003151t1,DN_NonamEVm003151
DN_NonamEVm003151t3,DN_NonamEVm003151
DN_NonamEVm003151t5,DN_NonamEVm003151
DN_NonamEVm003151t9,DN_NonamEVm003151
DN_NonamEVm003198t1,DN_NonamEVm003198
DN_NonamEVm003198t5,DN_NonamEVm003198
DN_NonamEVm003225t1,DN_NonamEVm003225
