TXNAME,GENEID
DN_NonamEVm001322t2,DN_NonamEVm001322
DN_NonamEVm001322t3,DN_NonamEVm001322
DN_NonamEVm001344t1,DN_NonamEVm001344
DN_NonamEVm001344t2,DN_NonamEVm001344
DN_NonamEVm001344t3,DN_NonamEVm001344
DN_NonamEVm001344t4,DN_NonamEVm001344
DN_NonamEVm001352t1,DN_NonamEVm001352
DN_NonamEVm001352t2,DN_NonamEVm001352
DN_NonamEVm001352t3,DN_NonamEVm001352
DN_NonamEVm001352t4,DN_NonamEVm001352
DN_NonamEVm001352t5,DN_NonamEVm001352
DN_NonamEVm001352t6,DN_NonamEVm001352
DN_NonamEVm001352t8,DN_NonamEVm001352
DN_NonamEVm001352t9,DN_NonamEVm001352
DN_NonamEVm001370t2,DN_NonamEVm001370
DN_NonamEVm001370t3,DN_NonamEVm001370
DN_NonamEVm001370t4,DN_NonamEVm001370
DN_NonamEVm001387t4,DN_NonamEVm001387
DN_NonamEVm001396t1,DN_NonamEVm001396
DN_NonamEVm001396t2,DN_NonamEVm001396
DN_NonamEVm001396t3,DN_NonamEVm001396
DN_NonamEVm001396t5,DN_NonamEVm001396
DN_NonamEVm001403t1,DN_NonamEVm001403
DN_NonamEVm001403t2,DN_NonamEVm001403
DN_NonamEVm001403t3,DN_NonamEVm001403
DN_NonamEVm001403t4,DN_NonamEVm001403
DN_NonamEVm001403t5,DN_NonamEVm001403
DN_NonamEVm001403t6,DN_NonamEVm001403
DN_NonamEVm001406t1,DN_NonamEVm001406
DN_NonamEVm001428t6,DN_NonamEVm001428
DN_NonamEVm001428t7,DN_NonamEVm001428
DN_NonamEVm001428t8,DN_NonamEVm001428
DN_NonamEVm001448t6,DN_NonamEVm001448
DN_NonamEVm001448t7,DN_NonamEVm001448
DN_NonamEVm001454t1,DN_NonamEVm001454
DN_NonamEVm001497t2,DN_NonamEVm001497
DN_NonamEVm001497t3,DN_NonamEVm001497
DN_NonamEVm001497t4,DN_NonamEVm001497
DN_NonamEVm001534t1,DN_NonamEVm001534
DN_NonamEVm001560t1,DN_NonamEVm001560
DN_NonamEVm001560t2,DN_NonamEVm001560
DN_NonamEVm001560t3,DN_NonamEVm001560
DN_NonamEVm001566t1,DN_NonamEVm001566
DN_NonamEVm001566t8,DN_NonamEVm001566
DN_NonamEVm001579t2,DN_NonamEVm001579
DN_NonamEVm001579t7,DN_NonamEVm001579
DN_NonamEVm001583t1,DN_NonamEVm001583
DN_NonamEVm001600t1,DN_NonamEVm001600
DN_NonamEVm001604t2,DN_NonamEVm001604
DN_NonamEVm001604t3,DN_NonamEVm001604
DN_NonamEVm001604t5,DN_NonamEVm001604
DN_NonamEVm001604t6,DN_NonamEVm001604
DN_NonamEVm001604t7,DN_NonamEVm001604
DN_NonamEVm001604t8,DN_NonamEVm001604
DN_NonamEVm001608t3,DN_NonamEVm001608
DN_NonamEVm001608t4,DN_NonamEVm001608
DN_NonamEVm001608t5,DN_NonamEVm001608
DN_NonamEVm001608t6,DN_NonamEVm001608
DN_NonamEVm001608t7,DN_NonamEVm001608
