range	category	value
(-12,-10)	PFAM_Transferases	1
(-12,-10)	Phenylpropanoids	0
(-12,-10)	Flavonoids	0
(-12,-10)	Isoprenoids	0
(-12,-10)	Aromatic_compounds	0
(-12,-10)	PFAM_Prenyltransferase	0
(-12,-10)	PFAM_Methyltransferase	0
(-12,-10)	Carotenoids	0
(-12,-10)	Polyamines	0
(-12,-10)	PFAM_Dioxygenase	0
(-12,-10)	PFAM_Oxidoreductase	0
(-12,-10)	Others	1
(-12,-10)	PFAM_Glycosyltransferase	0
(-12,-10)	PFAM_Peptides	0
(-12,-10)	Lignin	0
(-12,-10)	PFAM_Acetyltransferase	0
(4,6)	Lignans	0
(4,6)	Alkaloids	1
(4,6)	Terpenoids	1
(4,6)	PFAM_P450	2
(4,6)	Polyketides	0
(4,6)	PFAM_Transferases	0
(4,6)	Phenylpropanoids	1
(4,6)	Flavonoids	2
(4,6)	Isoprenoids	0
(4,6)	Aromatic_compounds	0
(4,6)	PFAM_Prenyltransferase	0
(4,6)	PFAM_Methyltransferase	0
(4,6)	Carotenoids	1
(4,6)	Polyamines	0
(4,6)	PFAM_Dioxygenase	0
(4,6)	PFAM_Oxidoreductase	1
(4,6)	Others	1
(4,6)	PFAM_Glycosyltransferase	0
(4,6)	PFAM_Peptides	0
(4,6)	Lignin	0
(4,6)	PFAM_Acetyltransferase	1
(-8,-6)	Lignans	0
(-8,-6)	Alkaloids	0
(-8,-6)	Terpenoids	1
(-8,-6)	PFAM_P450	0
(-8,-6)	Polyketides	2
(-8,-6)	PFAM_Transferases	0
(-8,-6)	Phenylpropanoids	0
(-8,-6)	Flavonoids	2
(-8,-6)	Isoprenoids	0
(-8,-6)	Aromatic_compounds	0
(-8,-6)	PFAM_Prenyltransferase	0
(-8,-6)	PFAM_Methyltransferase	1
(-8,-6)	Carotenoids	0
(-8,-6)	Polyamines	0
(-8,-6)	PFAM_Dioxygenase	0
(-8,-6)	PFAM_Oxidoreductase	0
(-8,-6)	Others	0
(-8,-6)	PFAM_Glycosyltransferase	0
(-8,-6)	PFAM_Peptides	0
(-8,-6)	Lignin	0
(-8,-6)	PFAM_Acetyltransferase	0
(-10,-8)	Lignans	1
(-10,-8)	Alkaloids	1
(-10,-8)	Terpenoids	0
(-10,-8)	PFAM_P450	0
(-10,-8)	Polyketides	0
(-10,-8)	PFAM_Transferases	1
(-10,-8)	Phenylpropanoids	0
(-10,-8)	Flavonoids	0
(-10,-8)	Isoprenoids	0
(-10,-8)	Aromatic_compounds	0
(-10,-8)	PFAM_Prenyltransferase	0
(-10,-8)	PFAM_Methyltransferase	0
(-10,-8)	Carotenoids	0
(-10,-8)	Polyamines	0
(-10,-8)	PFAM_Dioxygenase	1
(-10,-8)	PFAM_Oxidoreductase	0
(-10,-8)	Others	2
(-10,-8)	PFAM_Glycosyltransferase	0
(-10,-8)	PFAM_Peptides	0
(-10,-8)	Lignin	0
(-10,-8)	PFAM_Acetyltransferase	0
(-2,0)	Lignans	0
(-2,0)	Alkaloids	1
(-2,0)	Terpenoids	0
(-2,0)	PFAM_P450	2
(-2,0)	Polyketides	2
(-2,0)	PFAM_Transferases	0
(-2,0)	Phenylpropanoids	0
(-2,0)	Flavonoids	1
(-2,0)	Isoprenoids	1
(-2,0)	Aromatic_compounds	0
(-2,0)	PFAM_Prenyltransferase	0
(-2,0)	PFAM_Methyltransferase	0
(-2,0)	Carotenoids	0
(-2,0)	Polyamines	0
(-2,0)	PFAM_Dioxygenase	0
(-2,0)	PFAM_Oxidoreductase	0
(-2,0)	Others	0
(-2,0)	PFAM_Glycosyltransferase	1
(-2,0)	PFAM_Peptides	0
(-2,0)	Lignin	0
(-2,0)	PFAM_Acetyltransferase	1
(6,8)	Lignans	0
(6,8)	Alkaloids	2
(6,8)	Terpenoids	0
(6,8)	PFAM_P450	0
(6,8)	Polyketides	0
(6,8)	PFAM_Transferases	0
(6,8)	Phenylpropanoids	0
(6,8)	Flavonoids	0
(6,8)	Isoprenoids	0
(6,8)	Aromatic_compounds	0
(6,8)	PFAM_Prenyltransferase	0
(6,8)	PFAM_Methyltransferase	0
(6,8)	Carotenoids	1
(6,8)	Polyamines	0
(6,8)	PFAM_Dioxygenase	0
(6,8)	PFAM_Oxidoreductase	0
(6,8)	Others	0
(6,8)	PFAM_Glycosyltransferase	0
(6,8)	PFAM_Peptides	0
(6,8)	Lignin	0
(6,8)	PFAM_Acetyltransferase	0
(-14,-12)	Lignans	1
(-14,-12)	Alkaloids	0
(-14,-12)	Terpenoids	0
(-14,-12)	PFAM_P450	0
(-14,-12)	Polyketides	0
(-14,-12)	PFAM_Transferases	0
(-14,-12)	Phenylpropanoids	0
(-14,-12)	Flavonoids	0
(-14,-12)	Isoprenoids	0
(-14,-12)	Aromatic_compounds	0
(-14,-12)	PFAM_Prenyltransferase	0
(-14,-12)	PFAM_Methyltransferase	0
(-14,-12)	Carotenoids	0
(-14,-12)	Polyamines	0
(-14,-12)	PFAM_Dioxygenase	0
(-14,-12)	PFAM_Oxidoreductase	0
(-14,-12)	Others	0
(-14,-12)	PFAM_Glycosyltransferase	0
(-14,-12)	PFAM_Peptides	0
(-14,-12)	Lignin	0
(-14,-12)	PFAM_Acetyltransferase	0
