range	category	value
(-10,-8)	PFAM_Acetyltransferase	0
(-2,0)	Terpenoids	0
(-2,0)	Carotenoids	0
(-2,0)	PFAM_P450	0
(-2,0)	Polyketides	2
(-2,0)	Flavonoids	0
(-2,0)	PFAM_Transferases	0
(-2,0)	Lignans	0
(-2,0)	PFAM_Prenyltransferase	0
(-2,0)	PFAM_Methyltransferase	4
(-2,0)	Aromatic_compounds	0
(-2,0)	Lignin	1
(-2,0)	Polyamines	0
(-2,0)	PFAM_Dioxygenase	0
(-2,0)	PFAM_Oxidoreductase	0
(-2,0)	Others	2
(-2,0)	Alkaloids	4
(-2,0)	PFAM_Glycosyltransferase	0
(-2,0)	Phenylpropanoids	0
(-2,0)	Isoprenoids	2
(-2,0)	PFAM_Peptides	0
(-2,0)	PFAM_Acetyltransferase	0
(-14,-12)	Terpenoids	1
(-14,-12)	Carotenoids	0
(-14,-12)	PFAM_P450	0
(-14,-12)	Polyketides	0
(-14,-12)	Flavonoids	0
(-14,-12)	PFAM_Transferases	0
(-14,-12)	Lignans	0
(-14,-12)	PFAM_Prenyltransferase	0
(-14,-12)	PFAM_Methyltransferase	0
(-14,-12)	Aromatic_compounds	0
(-14,-12)	Lignin	0
(-14,-12)	Polyamines	0
(-14,-12)	PFAM_Dioxygenase	0
(-14,-12)	PFAM_Oxidoreductase	0
(-14,-12)	Others	1
(-14,-12)	Alkaloids	0
(-14,-12)	PFAM_Glycosyltransferase	0
(-14,-12)	Phenylpropanoids	0
(-14,-12)	Isoprenoids	0
(-14,-12)	PFAM_Peptides	0
(-14,-12)	PFAM_Acetyltransferase	0
(4,6)	Terpenoids	0
(4,6)	Carotenoids	0
(4,6)	PFAM_P450	1
(4,6)	Polyketides	0
(4,6)	Flavonoids	0
(4,6)	PFAM_Transferases	0
(4,6)	Lignans	0
(4,6)	PFAM_Prenyltransferase	0
(4,6)	PFAM_Methyltransferase	1
(4,6)	Aromatic_compounds	0
(4,6)	Lignin	0
(4,6)	Polyamines	0
(4,6)	PFAM_Dioxygenase	0
(4,6)	PFAM_Oxidoreductase	0
(4,6)	Others	0
(4,6)	Alkaloids	1
(4,6)	PFAM_Glycosyltransferase	1
(4,6)	Phenylpropanoids	0
(4,6)	Isoprenoids	0
(4,6)	PFAM_Peptides	0
(4,6)	PFAM_Acetyltransferase	0
(-12,-10)	Terpenoids	0
(-12,-10)	Carotenoids	0
(-12,-10)	PFAM_P450	0
(-12,-10)	Polyketides	0
(-12,-10)	Flavonoids	0
(-12,-10)	PFAM_Transferases	1
(-12,-10)	Lignans	0
(-12,-10)	PFAM_Prenyltransferase	0
(-12,-10)	PFAM_Methyltransferase	0
(-12,-10)	Aromatic_compounds	0
(-12,-10)	Lignin	0
(-12,-10)	Polyamines	0
(-12,-10)	PFAM_Dioxygenase	0
(-12,-10)	PFAM_Oxidoreductase	0
(-12,-10)	Others	1
(-12,-10)	Alkaloids	1
(-12,-10)	PFAM_Glycosyltransferase	0
(-12,-10)	Phenylpropanoids	0
(-12,-10)	Isoprenoids	0
(-12,-10)	PFAM_Peptides	0
(-12,-10)	PFAM_Acetyltransferase	0
